,YEAR,ORIGIN_AIRPORT,DESTINATION_AIRPORT
0,2015,ANC,SEA
1,2015,LAX,PBI
2,2015,SFO,CLT
3,2015,LAX,MIA
4,2015,SEA,ANC
5,2015,SFO,MSP
6,2015,LAS,MSP
7,2015,LAX,CLT
8,2015,SFO,DFW
9,2015,LAS,ATL
10,2015,DEN,ATL
11,2015,LAS,MIA
12,2015,LAX,MSP
13,2015,SLC,ATL
14,2015,SEA,MSP
15,2015,ANC,SEA
16,2015,ANC,SEA
17,2015,SFO,IAH
18,2015,ANC,PDX
19,2015,PDX,MSP
20,2015,LAS,MCI
21,2015,SEA,MIA
22,2015,LAS,DFW
23,2015,LAX,MIA
24,2015,LAS,MSP
25,2015,LAX,IAH
26,2015,FAI,SEA
27,2015,MSP,FLL
28,2015,LAS,CLT
29,2015,DEN,MIA
30,2015,PHX,ORD
31,2015,PHX,MIA
32,2015,ANC,SEA
33,2015,SLC,ATL
34,2015,LAS,IAH
35,2015,LAS,HNL
36,2015,ANC,PHX
37,2015,SJU,EWR
38,2015,ANC,SEA
39,2015,SJU,JFK
40,2015,PBG,FLL
41,2015,PHX,DFW
42,2015,PHX,DFW
43,2015,ANC,PDX
44,2015,IAG,FLL
45,2015,SJU,EWR
46,2015,PHX,CLT
47,2015,ANC,SEA
48,2015,PSE,MCO
49,2015,BQN,EWR
50,2015,BQN,MCO
51,2015,SJU,BOS
52,2015,SJU,MCO
53,2015,BQN,MCO
54,2015,PSE,MCO
55,2015,SJU,BDL
56,2015,ORD,PHX
57,2015,GEG,SEA
58,2015,HNL,ITO
59,2015,ONT,SFO
60,2015,HNL,KOA
61,2015,ANC,SEA
62,2015,HNL,OGG
63,2015,ORD,IAH
64,2015,MCO,MIA
65,2015,BOS,MYR
66,2015,HIB,MSP
67,2015,ABR,MSP
68,2015,MAF,IAH
69,2015,SEA,PHX
70,2015,DFW,MIA
71,2015,BOS,MIA
72,2015,MKE,IAH
73,2015,PDX,PHX
74,2015,IAH,MIA
75,2015,BNA,DTW
76,2015,BRO,IAH
77,2015,VPS,ATL
78,2015,BOI,SFO
79,2015,BJI,MSP
80,2015,HNL,LIH
81,2015,BNA,ATL
82,2015,SGF,DFW
83,2015,PHL,IAH
84,2015,PDX,DEN
85,2015,SEA,DEN
86,2015,DEN,DFW
87,2015,SBN,ORD
88,2015,PHL,MCO
89,2015,ORD,FLL
90,2015,RDD,SFO
91,2015,EUG,DEN
92,2015,SFO,DEN
93,2015,ORD,DEN
94,2015,IAD,IAH
95,2015,BUF,JFK
96,2015,PWM,JFK
97,2015,JFK,SJU
98,2015,CRP,IAH
99,2015,PIA,DTW
100,2015,ORD,DTW
101,2015,FAT,LAX
102,2015,SMF,DEN
103,2015,AUS,LAX
104,2015,BOS,BWI
105,2015,ORD,BOS
106,2015,PHX,DTW
107,2015,MCI,ATL
108,2015,BOS,DTW
109,2015,ATL,IAD
110,2015,JAX,EWR
111,2015,MFR,DEN
112,2015,SLC,IAH
113,2015,IDA,DEN
114,2015,MSN,DEN
115,2015,MKE,DTW
116,2015,GEG,DEN
117,2015,SEA,IAH
118,2015,DCA,IAH
119,2015,SAT,DFW
120,2015,JFK,MIA
121,2015,BOS,PBI
122,2015,BOS,JFK
123,2015,JFK,BQN
124,2015,DFW,ATL
125,2015,CHS,EWR
126,2015,MKE,DEN
127,2015,MSP,DEN
128,2015,CHS,DFW
129,2015,DEN,LAX
130,2015,SBA,DEN
131,2015,SMX,LAX
132,2015,HNL,KOA
133,2015,BOS,BUF
134,2015,PDX,EWR
135,2015,IND,PHX
136,2015,LAX,DEN
137,2015,CLE,IAH
138,2015,BOS,EWR
139,2015,DEN,PHX
140,2015,MCI,PHX
141,2015,AUS,DFW
142,2015,LAX,DFW
143,2015,GSP,ATL
144,2015,MCO,EWR
145,2015,MCI,IAH
146,2015,BDL,IAD
147,2015,ABI,DFW
148,2015,RIC,IAH
149,2015,BFL,DEN
150,2015,SAT,SFO
151,2015,OMA,IAH
152,2015,RDM,DEN
153,2015,FLL,BDL
154,2015,CID,ATL
155,2015,SFO,DEN
156,2015,MCO,LAX
157,2015,TPA,EWR
158,2015,SEA,DFW
159,2015,BOS,DFW
160,2015,SYR,JFK
161,2015,ROC,JFK
162,2015,TYR,DFW
163,2015,MCI,ORD
164,2015,LAN,ORD
165,2015,BUF,EWR
166,2015,XNA,DFW
167,2015,GSO,EWR
168,2015,ORD,LGA
169,2015,LAX,IAH
170,2015,EWR,MIA
171,2015,ONT,DEN
172,2015,MSP,DEN
173,2015,PBI,IAH
174,2015,PHX,IAH
175,2015,RSW,IAH
176,2015,EWR,MCO
177,2015,OMA,ORD
178,2015,SMF,PHX
179,2015,OAK,PHX
180,2015,PVD,CLT
181,2015,RNO,DEN
182,2015,PIT,IAH
183,2015,DEN,IAH
184,2015,BOS,BWI
185,2015,LAS,BWI
